Month,Year,Tourist arrivals Total,Tourist arrivals Domestic,Tourist arrivals Foreign,Tourist nights Total,Tourist nights Domestic,Tourist nights Foreign
11,2012,187,80,107,456,178,277
12,2012,147,65,82,344,144,200
1,2013,102,55,47,272,142,130
2,2013,131,65,66,307,149,159
3,2013,255,86,169,675,208,467
4,2013,538,107,430,1454,252,1202
5,2013,1024,147,877,3806,370,3436
6,2013,1636,164,1472,7694,546,7148
7,2013,2883,203,2680,18759,1099,17660
8,2013,3295,216,3079,21325,1297,20028
9,2013,1426,125,1301,7655,407,7249
10,2013,574,117,458,1785,276,1509
11,2013,204,87,118,504,196,307
12,2013,165,72,93,382,153,229
1,2014,119,61,58,307,159,148
2,2014,140,64,75,316,150,167
3,2014,234,83,151,548,193,355
4,2014,628,115,513,1723,271,1452
5,2014,1025,156,870,3305,398,2907
6,2014,1808,157,1652,8684,534,8151
7,2014,2917,196,2721,18373,1068,17305
8,2014,3557,226,3330,22442,1330,21112
9,2014,1438,125,1312,7810,399,7411
10,2014,641,115,526,1859,265,1594
11,2014,219,88,130,483,193,289
12,2014,189,74,115,420,157,263
1,2015,138,63,75,358,171,186
2,2015,160,69,91,365,161,204
3,2015,281,91,190,672,217,455
4,2015,652,120,532,1739,282,1456
5,2015,1182,162,1020,3969,413,3556
6,2015,1890,185,1705,8725,641,8083
7,2015,3300,227,3072,20344,1229,19115
8,2015,3821,244,3577,23685,1445,22240
9,2015,1621,135,1486,8649,442,8208
10,2015,669,135,533,1955,310,1645
11,2015,237,99,138,508,212,296
12,2015,225,93,132,470,181,289
1,2016,151,69,82,390,183,207
2,2016,190,76,114,422,168,255
3,2016,341,96,244,842,223,619
4,2016,646,132,514,1669,284,1385
5,2016,1207,171,1036,4259,414,3845
6,2016,1893,179,1714,8945,598,8347
7,2016,3889,248,3642,22828,1252,21576
8,2016,3962,255,3707,25451,1490,23961
9,2016,1863,161,1701,9650,468,9183
10,2016,756,144,613,2265,312,1953
11,2016,282,107,176,608,216,392
12,2016,282,110,171,590,213,377
1,2017,177,76,101,441,185,257
2,2017,210,84,125,470,181,289
3,2017,343,111,232,750,227,523
4,2017,916,146,770,2550,340,2210
5,2017,1257,180,1077,4116,407,3708
6,2017,2526,207,2319,12030,683,11347
7,2017,4346,258,4089,25292,1277,24014
8,2017,4206,252,3953,26827,1494,25332
9,2017,1979,152,1827,9900,437,9463
10,2017,850,143,707,2516,302,2213
11,2017,308,113,195,663,225,438
12,2017,314,116,197,645,218,427
1,2018,211,88,123,532,210,322
2,2018,219,82,137,485,175,310
3,2018,440,119,322,1015,244,771
4,2018,951,167,783,2513,374,2139
5,2018,1643,200,1443,5760,441,5318
6,2018,2628,234,2394,11850,781,11069
7,2018,4330,263,4068,25918,1316,24602
8,2018,4369,284,4085,27051,1620,25431
9,2018,2191,170,2021,10186,477,9709
10,2018,963,166,798,2826,344,2483
11,2018,372,127,245,781,256,525
12,2018,349,123,227,734,238,496
1,2019,208,88,120,504,208,296
2,2019,264,94,170,550,193,357
3,2019,450,131,319,944,271,673
4,2019,1106,172,934,2975,393,2583
5,2019,1569,215,1354,4917,486,4431
6,2019,2921,248,2673,13017,811,12205
7,2019,4326,292,4033,25523,1449,24074
8,2019,4712,347,4365,27771,1867,25905
9,2019,2171,176,1995,10366,505,9861
10,2019,1076,182,895,3080,386,2694
11,2019,391,135,256,819,272,548
12,2019,372,133,239,777,255,522
1,2020,220,97,123,545,224,321
2,2020,279,107,172,610,215,396
3,2020,104,43,61,290,106,184
4,2020,2,1,1,34,8,26
5,2020,62,31,32,167,66,101
6,2020,798,156,642,3589,457,3132
7,2020,2246,277,1968,14666,1324,13342
8,2020,2468,412,2056,16697,2171,14526
9,2020,488,133,355,3126,409,2717
10,2020,185,96,89,618,211,407
11,2020,87,55,32,269,122,146
12,2020,62,47,16,184,102,82
1,2021,88,71,16,249,173,76
2,2021,104,84,20,245,166,79
3,2021,133,88,45,360,184,175
4,2021,220,121,98,668,272,396
5,2021,407,132,275,1502,308,1194
6,2021,1371,275,1095,6518,854,5663
7,2021,3533,368,3165,20956,1732,19225
8,2021,4067,396,3672,26198,2236,23962
9,2021,1761,195,1566,10191,586,9605
10,2021,637,175,462,2186,376,1810
11,2021,221,113,108,576,239,337
12,2021,236,117,119,554,227,327
1,2022,173,99,74,505,245,260
2,2022,226,110,116,570,236,334
3,2022,315,124,191,812,254,558
4,2022,833,191,642,2525,428,2097
5,2022,1231,255,976,4264,563,3701
6,2022,2659,290,2369,13071,904,12166
7,2022,4341,335,4006,25264,1578,23686
8,2022,4379,366,4013,27528,1999,25530
9,2022,2073,206,1867,11132,601,10531
10,2022,892,201,691,2828,421,2407
